date,open,high,low,close,Adjusted_close,volume,dividend amount
2018-02-28,56.5,57.82,50.02,56.02,45.9548,192873258.0,0.0
2018-01-31,52.76,58.05,51.92,56.55,46.3896,195348647.0,0.25
2017-12-31,51.88,54.25,50.72,52.47,42.8534,150458472.0,0.0
2017-11-30,50.22,52.58,47.42,51.61,42.151,141004100.0,0.0
2017-10-31,48.11,51.52,47.7,50.0,40.8361,176731891.0,0.25
2017-09-30,45.59,48.49,43.84,48.17,39.1475,155501483.0,0.0
2017-08-31,47.25,48.8983,44.3421,45.5,36.9776,174434927.0,0.0
2017-07-31,45.0,48.04,44.32,46.9,38.1154,174885171.0,0.25
2017-06-30,41.98,45.98,41.75,44.56,36.0224,210222790.0,0.0
2017-05-31,43.76,44.06,40.43,41.74,33.7427,185847182.0,0.0
2017-04-30,42.81,44.86,40.5,43.37,35.0604,220855647.0,0.2
2017-03-31,46.95,47.33,40.06,42.84,34.4736,277879586.0,0.0
2017-02-28,43.3,46.82,41.83,45.67,36.751,209218544.0,0.0
2017-01-31,43.09,44.6,41.77,42.49,34.192,223847617.0,0.2
2016-12-31,41.76,44.04,41.14,42.25,33.8438,239331697.0,0.0
2016-11-30,33.68,41.64,32.56,41.36,33.1309,303742149.0,0.0
2016-10-31,32.02,34.03,30.96,33.57,26.8908,225582587.0,0.2
2016-09-30,32.14,32.44,30.62,32.06,25.5303,243215895.0,0.0
2016-08-31,28.84,32.31,27.79,32.06,25.5303,258706669.0,0.0
2016-07-31,25.77,29.37,24.57,28.73,22.8785,298000862.0,0.2
2016-06-30,27.11,27.57,23.11,25.98,20.547,359945802.0,0.0
2016-05-31,27.1,28.29,25.85,27.37,21.6463,271739587.0,0.0
2016-04-30,24.89,27.88,23.51,27.06,21.4011,338448199.0,0.15
2016-03-31,25.09,26.61,24.12,25.01,19.6726,354416847.0,0.0
2016-02-29,25.78,25.93,21.155,24.7,19.4288,379260666.0,0.0
2016-01-31,30.7,31.7,24.67,25.88,20.357,377959241.0,0.15
2015-12-31,34.6,35.58,31.19,31.81,24.8744,251478136.0,0.0
2015-11-30,33.1,35.74,33.02,34.3,26.8215,199501474.0,0.0
2015-10-31,31.42,34.08,30.15,32.97,25.7815,334487614.0,0.15
2015-09-30,33.4,35.05,30.47,31.5,24.522,263296468.0,0.0
2015-08-31,38.96,39.35,30.4,34.45,26.8185,261203276.0,0.0
2015-07-31,39.46,41.04,37.65,38.84,30.236,199018532.0,0.15
2015-06-30,38.42,40.26,38.16,38.79,30.0822,166465405.0,0.0
2015-05-31,37.5,38.85,36.76,38.2,29.6247,166220989.0,0.0
2015-04-30,35.72,37.7,35.36,37.31,28.9345,192051874.0,0.15
2015-03-31,35.64,37.2198,34.775,35.69,27.5665,223705240.0,0.0
2015-02-28,33.96,37.2,33.72,35.79,27.6437,183364105.0,0.0
2015-01-31,39.05,39.15,33.73,33.81,26.1144,265941208.0,0.1
2014-12-31,35.02,39.19,34.56,38.8,29.8801,201393117.0,0.0
2014-11-30,35.05,36.13,34.43,35.18,27.0923,140824685.0,0.0
2014-10-31,34.37,35.4,31.35,34.95,26.9152,267759468.0,0.1
2014-09-30,34.42,36.44,33.82,34.57,26.5454,217966780.0,0.0
2014-08-31,32.18,34.57,31.1224,34.31,26.3457,147985300.0,0.0
2014-07-31,32.41,33.6,31.2,32.34,24.833,176508596.0,0.1
2014-06-30,30.86,32.82,30.4001,32.33,24.7496,184224800.0,0.0
2014-05-31,30.91,31.44,29.02,30.86,23.6242,222266200.0,0.0
2014-04-30,31.37,31.59,28.31,30.93,23.6778,279056100.0,0.1
2014-03-31,30.24,33.25,29.93,31.17,23.7822,257790800.0,0.0
2014-02-28,29.51,30.94,28.78,30.8,23.4999,258909600.0,0.0
2014-01-31,31.33,33.52,29.28,29.51,22.5157,304437100.0,0.05
2013-12-31,31.52,31.85,30.04,31.36,23.8873,219393800.0,0.0
2013-11-30,28.89,31.8,28.69,31.3,23.8416,223654500.0,0.0
2013-10-31,26.95,29.97,26.42,28.73,21.884,290013033.0,0.05
2013-09-30,26.22,29.495,25.95,26.95,20.4933,288068100.0,0.0
2013-08-31,27.57,28.02,25.25,25.76,19.5884,225055100.0,0.0
2013-07-31,24.64,27.98,23.83,27.21,20.691,365586700.0,0.05
2013-06-30,26.06,27.17,23.9148,24.43,18.5431,436196100.0,0.0
2013-05-31,22.11,26.4177,21.54,25.9,19.6588,366420400.0,0.0
2013-04-30,21.99,22.63,20.16,22.15,16.8125,469632500.0,0.05
2013-03-31,22.39,23.66,21.78,21.98,16.6445,374171500.0,0.0
2013-02-28,23.04,24.47,21.78,22.55,17.0762,378248600.0,0.05
2013-01-31,20.1601,23.03,19.32,22.85,17.2666,553471400.0,0.0
2012-12-31,17.01,19.45,16.35,19.12,14.4481,345139100.0,0.0
2012-11-30,17.41,18.24,15.95,16.87,12.7478,383097100.0,0.0
2012-10-31,16.94,18.57,16.73,17.38,13.1332,441619400.0,0.0
